bedroom number,kitchen number,living number,bathroom number,dining number,other number,other area
2,1,1,1,1,0,0.0
3,1,1,1,1,1,0.0
2,1,1,1,0,1,0.0
1,1,0,0,1,1,3.2
2,1,1,1,1,3,0.0
4,1,1,1,1,3,3.4
2,1,1,1,1,1,0.0
2,1,1,1,1,2,0.0
6,1,1,2,1,7,75.4
2,1,0,1,1,4,0.0
3,1,0,2,1,3,0.0
2,1,1,1,1,1,0.0
2,1,1,1,1,3,4.8
2,1,1,1,1,2,2.1
2,1,1,1,1,5,29.3
3,1,0,1,1,7,31.0
2,1,1,1,1,1,0.0
1,1,0,1,1,1,0.0
0,1,1,1,0,0,0.0
3,1,0,1,1,6,32.5
2,1,1,1,0,2,0.0
4,1,0,1,0,4,58.4
3,1,1,1,1,0,0.0
2,1,1,1,0,2,0.0
3,1,1,1,1,3,13.9
4,1,1,2,1,6,9.0
3,1,1,2,1,3,4.5
4,1,1,2,0,5,18.1
2,1,1,2,0,5,0.0
3,1,0,1,1,3,17.3
2,1,1,1,0,1,0.0
4,1,1,1,1,4,0.0
2,1,2,1,1,1,0.0
2,1,1,1,0,1,0.0
5,1,1,1,1,8,59.4
2,1,0,1,0,2,20.0
3,1,0,1,0,3,14.8
3,1,1,1,0,1,0.0
1,1,1,1,0,1,0.0
1,1,0,1,0,2,12.8
1,1,1,0,0,2,3.1
4,1,0,2,1,6,28.999999999999996
2,1,0,0,1,4,0.0
1,1,0,1,0,2,0.0
3,1,0,1,1,4,14.5
2,1,1,1,0,2,4.0
3,1,1,1,0,2,6.7
2,1,0,0,1,4,17.1
2,1,0,1,0,2,11.7
3,1,0,2,1,4,17.7
2,1,0,1,1,0,0.0
2,1,0,1,1,2,12.8
4,1,0,2,0,4,26.5
1,1,1,0,0,2,3.3
2,1,0,1,0,2,18.0
2,1,1,0,0,3,3.6
3,1,0,2,1,3,17.3
2,1,0,1,1,2,12.8
5,1,0,1,1,7,12.7
4,1,0,1,1,5,28.700000000000003
4,1,0,1,1,6,8.100000000000001
2,1,1,1,0,1,9.1
1,1,1,1,0,1,4.5
3,1,1,1,1,6,131.8
4,1,1,1,0,1,30.4
3,1,0,1,1,1,3.0
5,1,1,2,1,2,319.6
2,1,1,1,0,0,0.0
5,1,1,1,0,3,0.0
3,1,1,0,0,4,10.2
2,1,1,1,1,1,0.0
1,1,1,1,1,0,0.0
