bedroom number,kitchen number,living number,bathroom number,dining number,other number,other area
3,1,1,1,0,4,17.8
3,1,1,2,1,6,0.0
2,0,0,1,1,3,0.0
2,1,0,1,0,2,18.4
4,1,1,1,1,8,49.8
1,1,1,1,1,1,3.7
4,1,1,2,1,1,16.1
2,0,1,1,1,1,3.3
3,1,1,1,1,1,7.4
3,1,1,1,1,0,0.0
1,1,1,1,1,1,4.5
2,1,1,1,1,0,0.0
2,1,1,1,0,1,10.8
1,0,1,1,1,1,8.8
3,1,1,1,1,3,26.7
2,1,0,1,1,5,22.8
2,1,1,1,0,1,0.0
3,1,0,1,1,8,16.0
2,1,1,1,0,1,0.0
2,1,1,1,0,1,2.6
2,1,0,1,1,2,2.8
2,1,1,1,0,2,21.8
3,1,0,1,1,11,20.8
2,1,1,1,0,1,0.0
3,1,0,1,1,7,24.400000000000002
1,1,1,1,1,3,0.0
4,1,0,2,1,5,13.0
2,1,0,1,1,5,1.3
4,1,1,2,1,5,21.5
3,1,1,2,1,7,30.799999999999997
3,1,1,2,1,7,23.0
4,1,1,1,1,7,28.799999999999997
3,1,1,2,1,4,3.6
3,1,1,2,1,4,2.8
3,1,0,2,1,5,20.599999999999998
3,1,1,2,1,5,27.8
3,1,1,2,1,5,0.0
4,1,1,1,1,8,31.599999999999998
3,1,0,1,1,4,0.0
2,1,1,2,0,3,6.9
3,1,0,2,2,6,17.1
3,1,1,2,1,9,11.7
3,1,0,2,1,6,17.8
4,1,1,2,1,6,29.0
2,1,0,1,1,5,0.0
3,1,1,1,0,5,4.3
2,1,1,1,1,2,0.0
2,1,1,2,1,4,0.0
5,2,2,3,1,8,8.9
4,1,0,2,1,6,26.3
2,1,1,1,0,4,2.5
2,1,1,1,1,6,13.5
3,1,1,2,1,8,16.2
3,1,0,2,1,4,11.2
3,1,1,2,1,5,0.0
3,1,1,1,1,5,0.0
2,1,1,1,0,3,0.0
3,1,0,1,1,5,13.7
4,1,1,2,1,5,6.4
1,1,0,1,1,2,0.0
1,1,1,1,0,2,0.0
3,1,2,1,1,4,16.1
2,1,1,1,1,7,12.3
3,1,0,1,1,4,5.4
3,1,1,1,1,8,20.900000000000002
1,1,1,1,0,1,0.0
3,1,1,1,1,6,14.700000000000001
2,1,1,1,1,2,0.0
3,1,0,2,1,4,7.7
3,1,0,1,1,5,14.5
2,1,1,2,1,2,0.0
3,1,1,2,1,5,3.2
3,1,0,1,1,5,13.3
4,1,1,1,1,8,52.3
3,1,1,1,2,4,10.2
3,1,0,0,1,0,0.0
3,1,0,1,0,2,36.5
3,1,0,1,1,0,0.0
1,1,0,1,1,0,0.0
5,1,0,1,0,2,43.599999999999994
1,1,0,0,0,2,25.1
2,1,0,2,1,0,0.0
2,1,2,1,0,0,0.0
3,1,0,1,0,6,35.1
3,1,1,1,1,5,0.0
3,1,1,1,1,3,0.0
2,1,1,2,1,3,0.0
3,1,0,1,1,9,397.8
2,1,1,2,0,2,3.3
2,1,1,2,0,2,3.3
5,1,1,1,1,7,27.400000000000002
5,1,1,1,1,7,27.400000000000002
5,1,1,1,1,7,27.400000000000002
5,1,1,1,1,7,27.400000000000002
4,1,1,1,1,1,4.0
3,1,1,0,0,6,0.0
3,1,1,1,1,3,0.0
2,1,1,1,1,1,0.0
2,1,1,1,0,6,0.0
4,1,1,2,1,6,25.1
2,1,1,1,1,3,11.6
3,1,1,2,1,5,0.0
3,1,0,0,1,10,51.9
3,1,1,1,1,7,12.3
2,1,1,1,1,5,4.199999999999999
4,1,1,2,1,4,7.6
2,1,1,1,1,0,0.0
4,1,1,1,1,6,225.5
4,1,1,1,1,5,0.0
3,1,1,1,0,3,199.89999999999998
2,1,1,1,1,2,47.599999999999994
2,1,1,1,0,1,0.0
4,1,1,1,1,6,118.5
5,1,1,1,1,6,19.2
3,1,1,1,0,5,282.8
3,1,1,1,1,4,175.6
3,1,1,1,1,6,22.5
2,1,1,1,1,2,3.7
2,1,1,1,1,2,40.0
1,1,1,1,0,2,6.7
2,1,1,1,0,3,25.0
2,1,1,1,1,1,1.8
3,1,1,1,1,1,4.8
4,1,1,2,1,0,0.0
3,1,1,1,1,1,1.9
3,1,0,2,1,1,18.1
3,1,0,2,1,2,21.4
1,1,1,1,0,1,0.0
1,1,1,1,0,1,0.0
1,1,1,0,0,2,3.2
1,1,1,1,0,1,0.0
2,1,1,2,0,1,2.9
3,1,1,1,0,1,0.0
1,1,1,1,1,2,0.0
2,1,1,1,0,6,16.2
2,1,1,1,1,2,0.0
1,1,1,1,0,2,0.0
2,1,1,1,0,1,0.0
3,1,1,1,1,4,16.5
3,1,1,1,1,4,0.0
3,1,1,1,1,3,8.6
3,2,1,2,2,11,59.599999999999994
3,1,1,1,1,1,0.0
2,1,1,1,1,1,0.0
3,1,1,1,1,4,14.1
3,1,1,1,1,4,6.7
4,1,1,1,0,6,32.8
2,1,1,1,1,4,0.0
2,1,1,1,0,4,0.0
3,1,1,0,1,3,0.0
4,1,0,1,1,6,23.7
3,1,0,1,1,5,29.0
4,1,0,3,1,5,56.2
5,2,0,1,1,10,36.6
3,1,0,1,1,4,0.0
3,1,0,1,0,3,0.0
2,1,0,1,1,3,17.4
2,1,0,1,1,2,0.0
4,1,0,1,1,3,0.0
3,1,1,1,1,4,11.9
2,1,0,0,1,5,18.4
2,1,0,0,1,7,32.699999999999996
3,1,0,1,1,5,20.6
2,1,0,1,0,3,21.1
4,1,0,1,1,11,55.7
3,1,0,1,1,5,27.6
4,1,0,2,3,7,0.0
3,1,0,2,1,7,30.2
4,1,0,0,1,10,25.3
3,1,2,2,0,1,8.7
3,1,1,1,1,3,186.2
4,1,0,2,1,6,166.1
1,1,0,1,1,1,3.6
2,1,0,1,0,3,24.8
